# TBLASTN 2.2.31+
# Query: EOG0937004M_0
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_0	TRINITY_DN2957_c0_g1_i1	78.45	2265	227	38	1	2004	6994	200	0.0	3317
# TBLASTN 2.2.31+
# Query: EOG0937004M_1
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_1	TRINITY_DN2957_c0_g1_i1	69.08	2235	453	37	1	1997	6994	290	0.0	2823
# TBLASTN 2.2.31+
# Query: EOG0937004M_2
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_2	TRINITY_DN2957_c0_g1_i1	70.58	2179	419	35	1	1957	6994	458	0.0	2957
# TBLASTN 2.2.31+
# Query: EOG0937004M_3
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_3	TRINITY_DN2957_c0_g1_i1	67.20	2265	482	39	1	2004	6994	200	0.0	2848
# TBLASTN 2.2.31+
# Query: EOG0937004M_4
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_4	TRINITY_DN2957_c0_g1_i1	68.79	2265	446	38	1	2004	6994	200	0.0	2948
# TBLASTN 2.2.31+
# Query: EOG0937004M_5
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_5	TRINITY_DN2957_c0_g1_i1	67.70	2235	484	35	1	1997	6994	290	0.0	2823
# TBLASTN 2.2.31+
# Query: EOG0937004M_6
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_6	TRINITY_DN2957_c0_g1_i1	68.92	2265	443	38	1	2004	6994	200	0.0	2978
# TBLASTN 2.2.31+
# Query: EOG0937004M_7
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_7	TRINITY_DN2957_c0_g1_i1	67.16	2235	496	34	1	1997	6994	290	0.0	2843
# TBLASTN 2.2.31+
# Query: EOG0937004M_8
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_8	TRINITY_DN2957_c0_g1_i1	68.99	2235	455	37	1	1997	6994	290	0.0	2855
# TBLASTN 2.2.31+
# Query: EOG0937004M_9
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
EOG0937004M_9	TRINITY_DN2957_c0_g1_i1	67.74	2235	483	37	1	1997	6994	290	0.0	2801
# TBLASTN 2.2.31+
# Query: EOG09370082_0
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 7 hits found
EOG09370082_0	TRINITY_DN14195_c0_g1_i1	72.05	551	132	9	528	1056	3	1655	0.0	730
EOG09370082_0	TRINITY_DN14195_c0_g1_i1	38.51	322	122	9	1199	1444	2772	3737	1e-38	159
EOG09370082_0	TRINITY_DN14195_c0_g1_i1	44.29	70	23	2	1117	1170	2202	2411	4e-08	58.9
EOG09370082_0	TRINITY_DN14195_c0_g1_i1	35.56	90	22	4	1531	1584	4520	4789	6e-05	48.5
EOG09370082_0	TRINITY_DN7967_c0_g2_i1	67.19	256	71	2	289	531	8	775	1e-96	314
EOG09370082_0	TRINITY_DN7967_c0_g3_i1	58.56	181	42	3	79	226	544	2	1e-49	178
EOG09370082_0	TRINITY_DN7967_c0_g4_i1	65.71	70	24	0	224	293	211	2	5e-28	111
# TBLASTN 2.2.31+
# Query: EOG09370082_1
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 9 hits found
EOG09370082_1	TRINITY_DN14195_c0_g1_i1	65.88	551	166	9	528	1056	3	1655	0.0	694
EOG09370082_1	TRINITY_DN14195_c0_g1_i1	35.93	334	133	9	1226	1478	2859	3860	8e-51	198
EOG09370082_1	TRINITY_DN14195_c0_g1_i1	39.32	117	35	4	1504	1584	4439	4789	1e-11	70.5
EOG09370082_1	TRINITY_DN14195_c0_g1_i1	41.03	78	42	1	1474	1547	4200	4433	1e-07	57.0
EOG09370082_1	TRINITY_DN7967_c0_g2_i1	61.63	258	82	3	289	531	8	775	2e-98	319
EOG09370082_1	TRINITY_DN7967_c0_g3_i1	54.19	203	60	4	57	226	610	2	5e-55	194
EOG09370082_1	TRINITY_DN7967_c0_g4_i1	62.86	70	26	0	224	293	211	2	2e-24	101
EOG09370082_1	TRINITY_DN7967_c0_g1_i2	41.79	67	24	3	3	54	201	1	1e-07	53.5
EOG09370082_1	TRINITY_DN7967_c0_g1_i1	41.79	67	24	3	3	54	201	1	5e-07	51.2
# TBLASTN 2.2.31+
# Query: EOG09370082_2
# Database: ./tmp/LeptodorusBusco_1072938384
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
EOG09370082_2	TRINITY_DN14195_c0_g1_i1	61.72	606	191	12	528	1093	3	1817	0.0	650
EOG09370082_2	TRINITY_DN14195_c0_g1_i1	34.32	338	141	9	1225	1481	2856	3869	5e-44	176
EOG09370082_2	TRINITY_DN14195_c0_g1_i1	36.75	117	38	4	1504	1584	4439	4789	5e-10	65.1
EOG09370082_2	TRINITY_DN14195_c0_g1_i1	43.55	62	31	1	1492	1549	4254	4439	7e-07	54.7
EOG09370082_2	TRINITY_DN14195_c0_g1_i1	30.13	156	47	6	1116	1209	2199	2666	7e-07	54.7
EOG09370082_2	TRINITY_DN7967_c0_g2_i1	67.19	256	71	3	289	531	8	775	2e-107	344
